1	2
Open it.	Öffne es!
Open it.	Öffnet es!
Open it.	Öffnen Sie es!
Open up.	Mach auf!
Perfect!	Perfekt!
Pull it.	Zieh dran.
Push it.	Drück drauf.
See you!	Tschüss!
See you.	Wir sehen uns.
Show me.	Zeig's mir!
Shut up!	Halt’s Maul!
So long.	Bis später!
Stop it.	Hör auf.
Take it.	Nimm es.
Take it.	Nehmt es.
Take it.	Nehmen Sie es.
Tell me.	Sag es mir.
Tell me.	Erzähl's mir.
Tom ate.	Tom aß.
Tom ate.	Tom hat gegessen.
Tom hid.	Thomas versteckte sich.
Tom hid.	Thomas hat sich versteckt.
Tom ran.	Tom rannte.
Tom ran.	Tom ist gerannt.
Tom won.	Tom hat gewonnen.
Wait up.	Warte mal!
Wait up.	Warten Sie mal!
Wait up.	Wartet mal!
Wake up!	Wach auf!
Wake up!	Wachen Sie auf!
Wake up.	Wach auf!
Wake up.	Wachen Sie auf!
Wash up.	Wasch dir die Hände.
Wash up.	Wasch dir das Gesicht.
We lost.	Wir haben verloren.
Welcome.	Willkommen!
Who ate?	Wer hat gegessen?
Who ate?	Wer aß?
Who ran?	Wer rannte?
Who ran?	Wer ist gerannt?
Who won?	Wer hat gewonnen?
You run.	Du läufst.
You run.	Sie laufen.
You won.	Du hast gewonnen.
All rise.	Alle aufstehen!
Am I fat?	Bin ich dick?
Ask them.	Frag sie.
Back off.	Komm nicht näher!
Be a man.	Sei ein Mann!
Be brave.	Sei tapfer!
Be brave.	Seien Sie tapfer!
Be brave.	Seid tapfer!
Be brief.	Fassen Sie sich kurz.
Be brief.	Fass dich kurz.
Be brief.	Fasst euch kurz.
Be still.	Sei ruhig.
Call Tom.	Ruf Tom an!
Call Tom.	Rufe Tom an!
Call Tom.	Rufen Sie Tom an!
Call Tom.	Ruft Tom an!
Can I go?	Kann ich gehen?
Catch me.	Fang mich!
Catch me.	Fangen Sie mich!
Catch me.	Fangt mich!
Cheer up!	Kopf hoch!
Cool off!	Reg dich ab!
Cuff him.	Leg ihm Handschellen an.
Cuff him.	Legen Sie ihm Handschellen an.
Don't go.	Geh nicht.
Drive on.	Fahr weiter.
Find Tom.	Finde Tom.
Find Tom.	Findet Tom.
Find Tom.	Finden Sie Tom.
Fix this.	Beheben Sie das.
Fix this.	Behebe das.
Fix this.	Repariere das.
Fix this.	Reparieren Sie das.
Get away!	Geh weg!
Get away!	Verpiss dich!
Get away!	Hau ab!
Get away!	Verschwinde!
Get away!	Verdufte!
Get away!	Mach dich fort!
Get away!	Zieh Leine!
Get away!	Mach dich vom Acker!
Get away!	Verzieh dich!
Get away!	Verkrümele dich!
Get away!	Troll dich!
Get away!	Zisch ab!
Get away!	Pack dich!
Get away!	Mach ’ne Fliege!
Get away!	Schwirr ab!
Get away!	Mach die Sause!
Get away!	Scher dich weg!
Get away!	Scher dich fort!
Get down!	Runter!
Get down!	Hinlegen!
Get down!	In Deckung!
Get down.	Komm runter.
Get down.	Kommen Sie runter.
Get lost!	Geh weg!
Get lost!	Verpiss dich!
Get lost!	Hau ab!
Get lost!	Verschwinde!
Get lost!	Verdufte!
Get lost!	Mach dich fort!
Get lost!	Zieh Leine!
Get lost!	Mach dich vom Acker!
Get lost!	Verzieh dich!
Get lost!	Verkrümele dich!
Get lost!	Troll dich!
Get lost!	Zisch ab!
Get lost!	Pack dich!
Get lost!	Mach ’ne Fliege!
Get lost!	Schwirr ab!
Get lost!	Mach die Sause!
Get lost!	Scher dich weg!
Get lost!	Scher dich fort!
Get real!	Jetzt mal ernsthaft!
Go ahead!	Nur zu!
Go ahead.	Mach weiter!
Grab Tom.	Hol Tom.
Grab him.	Greif ihn dir!
Have fun.	Viel Vergnügen!
Have fun.	Viel Spaß!
Have fun.	Feier schön!
He spoke.	Er sprach.
He tried.	Er versuchte es.
He tried.	Er hat es versucht.
He tries.	Er versucht es.
He tries.	Er versuchte es.
Help Tom.	Hilf Tom!
Help Tom.	Helft Tom!
Help Tom.	Helfen Sie Tom!
How cute!	Was ist das nicht süß!
How cute!	Wie süß!
How deep?	Wie tief?
How nice!	Wie schön!
How rude!	Wie unverschämt!
How rude!	Wie unhöflich!
Humor me.	Tu mir den Gefallen.
Humor me.	Tun Sie mir den Gefallen.
Hurry up.	Beeil dich!
Hurry up.	Beeil dich.
Hurry up.	Mach hin!
I can go.	Ich kann gehen.
I cursed.	Ich fluchte.
I cursed.	Ich habe geflucht.
I did it.	Ich habe es geschafft.
I did it.	Ich hab's gemacht.
I get by.	Ich komme klar.
I get by.	Ich komme zurecht.
I get by.	Ich komme über die Runden.
I get it.	Ich verstehe.
I got it.	Ich habe es verstanden.
I got it.	Ich habe es bekommen.
I got it.	Ich hab's.
I helped.	Ich half.
I helped.	Ich habe geholfen.
I jumped.	Ich bin gesprungen.
I moaned.	Ich stöhnte.
I moaned.	Ich ächzte.
I nodded.	Ich nickte.
I paused.	Ich hielt an.
I paused.	Ich pausierte.
I prayed.	Ich betete.
I refuse.	Ich weigere mich.
I resign.	Ich trete zurück.
I rested.	Ich rastete.
I shaved.	Ich rasierte mich.
I shaved.	Ich habe mich rasiert.
I smiled.	Ich lächelte.
I stayed.	Ich blieb.
I stayed.	Ich bin dageblieben.
I use it.	Ich benutze es.
I waited.	Ich habe gewartet.
I winked.	Ich blinzelte.
I winked.	Ich zwinkerte.
I yawned.	Ich gähnte.
I yawned.	Ich habe gegähnt.
I'll pay.	Ich werde zahlen.
I'll try.	Ich werde es versuchen.
I'm a DJ.	Ich bin DJ.
I'm back.	Ich bin wieder da.
I'm bald.	Ich bin glatzköpfig.
I'm bald.	Ich habe eine Glatze.
I'm busy.	Ich bin beschäftigt.
I'm busy.	Ich habe zu tun.
I'm cool.	Ich bin cool.
I'm deaf.	Ich bin taub.
I'm deaf.	Ich bin gehörlos.
I'm fair.	Ich bin gerecht.
I'm fine.	Mir geht's gut.
I'm fine.	Mir geht es gut.
I'm fine.	Es geht mir gut.
I'm free.	Ich bin frei.
I'm full.	Ich bin satt.
I'm game.	Ich bin dabei.
I'm game.	Ich mache mit.
I'm good.	Mir geht's gut.
I'm here.	Ich bin hier.
I'm home.	Ich bin zu Hause.
I'm late.	Ich komme zu spät.
I'm lost.	Ich habe mich verirrt.
I'm mean.	Ich bin gemein.
I'm next.	Ich bin der Nächste.
I'm okay.	Es geht mir gut.
I'm rich.	Ich bin reich.
I'm safe.	Ich bin sicher.
I'm sick.	Ich bin krank!
I'm sure.	Ich bin sicher.
I'm tall.	Ich bin groß.
I'm thin.	Ich bin dünn.
I'm tidy.	Ich bin ordentlich.
I'm ugly.	Ich bin hässlich.
I'm weak.	Ich bin schwach.
I'm well.	Mir geht es gut.
It helps.	Das hilft.
It hurts.	Es tut weh.
It hurts.	Es schmerzt.
It works.	Es klappt.
It works.	Es funktioniert.
It's Tom.	Es ist Tom.
It's dry.	Es ist trocken.
It's his.	Es ist seins.
It's hot.	Es ist heiß.
It's hot.	Sie ist heiß.
It's hot.	Er ist heiß.
It's new.	Es ist neu.
It's sad.	Es ist traurig.
Keep out!	Eintritt verboten!
Keep out.	Komm nicht herein.
Keep out.	Kein Zutritt.
Kill Tom.	Töte Thomas!
Kill Tom.	Tötet Thomas!
Kill Tom.	Töten Sie Thomas!
Kiss Tom.	Küsse Tom!
Kiss Tom.	Küssen Sie Tom!
Kiss Tom.	Küsst Tom!
Leave us.	Geh weg!
Leave us.	Gehen Sie weg.
Leave us.	Lass uns allein.
Leave us.	Lassen Sie uns allein.
Let's go!	Lass uns gehen!
Let's go!	Auf geht's!
Let's go!	Gehen wir!
Let's go!	Lasst uns gehen.
Let's go!	Lass uns losgehen.
Let's go!	Lasst uns losgehen.
Let's go!	Auf, auf!
Look out!	Vorsicht!
Marry me.	Heirate mich.
May I go?	Darf ich gehen?
Said who?	Wer sagt das?
Said who?	Sagt wer?
Save Tom.	Rette Tom!
Save Tom.	Rettet Tom!
Save Tom.	Retten Sie Tom!
She came.	Sie kam.
She lied.	Sie log.
She runs.	Sie rennt.
Sit down!	Setz dich!
Sit down!	Setzen Sie sich!
Sit down.	Setz dich!
Speak up!	Sprich lauter!
Stand up!	Stehen Sie auf!
Stand up!	Steht auf!
Stand up!	Stehe auf!
Stand up.	Steh auf.
Stop Tom.	Halte Tom auf!
Stop Tom.	Halten Sie Tom auf!
Stop Tom.	Haltet Tom auf!
Take Tom.	Nimm Tom.
Taste it.	Probier es mal.
Tell Tom.	Sag es Tom.
Tell Tom.	Sagen Sie es Tom.
Tell Tom.	Erzähl es Tom.
Tell Tom.	Erzählen Sie Tom davon.
Tell Tom.	Sagt es Tom.
Terrific!	Hervorragend!
Terrific!	Sagenhaft!
Terrific!	Wunderbar!
They won.	Sie haben gewonnen.
Tom came.	Tom kam.
Tom came.	Tom ist gekommen.
Tom died.	Tom ist gestorben.
Tom died.	Tom starb.
Tom fell.	Tom fiel.
Tom fell.	Tom ist gefallen.
Tom knew.	Tom wusste es.
Tom knew.	Tom hat es gewusst.
Tom knew.	Tom wusste Bescheid.
Tom left.	Tom ist gegangen.
Tom left.	Tom ging.
Tom lied.	Tom log.
Tom lies.	Tom lügt.
Tom lost.	Tom hat verloren.
Tom paid.	Tom hat gezahlt.
Tom quit.	Tom hat aufgehört.
Tom sang.	Tom sang.
Tom spit.	Thomas spuckte.
Tom spit.	Thomas hat gespuckt.
Tom swam.	Tom schwamm.
Tom swam.	Tom ist geschwommen.
Tom went.	Tom ging.
Tom wept.	Tom weinte.
Tom's up.	Tom ist auf.
Too late.	Zu spät.
Touch it.	Fass es an.
Trust me.	Vertraue mir.
Trust me.	Vertraut mir!
Trust me.	Vertrauen Sie mir!
Try hard.	Versuch es richtig!
Try some.	Probier mal.
Try this.	Probier mal!
Use this.	Nimm das hier!
Warn Tom.	Warnen Sie Tom.
Warn Tom.	Warne Tom.
Watch me.	Schau mir zu.
Watch me.	Schauen Sie mir zu.
Watch us.	Beobachte uns.
Watch us.	Beobachten Sie uns.
Watch us.	Schau uns zu.
Watch us.	Schaut uns zu.
Watch us.	Schauen Sie uns zu.
Watch us.	Beobachtet uns.
We agree.	Wir stimmen zu.
We agree.	Wir sind einverstanden.
We tried.	Wir haben es versucht.
We tried.	Wir versuchten es.
We'll go.	Wir werden gehen.
We're OK.	Wir sind in Ordnung.
What for?	Wozu?
What fun!	Was für ein Spaß!
Who am I?	Wer bin ich?
Who came?	Wer ist gekommen?
Who came?	Wer kam?
Who died?	Wer ist gestorben?
Who fell?	Wer fiel?
Who fell?	Wer ist gefallen?
Who lost?	Wer hat verloren?
Who quit?	Wer hat aufgehört?
Who quit?	Wer ist ausgeschieden?
Who swam?	Wer schwamm?
Who swam?	Wer ist geschwommen?
Who's he?	Wer ist er?
Write me.	Schreib mir!
Write me.	Schreiben Sie mir!
Write me.	Schreibt mir!
You lost.	Sie haben verloren.
You lost.	Du hast verloren.
You lost.	Ihr habt verloren.
Aim. Fire!	Zielen. Feuer!
Am I dead?	Bin ich tot?
Am I late?	Bin ich zu spät?
Answer me.	Antworten Sie mir.
Be seated.	Setz dich!
Be seated.	Setzen Sie sich.
Birds fly.	Vögel fliegen.
Bless you.	Gesundheit.
Call home!	Ruf zuhause an!
Call home!	Rufen Sie zuhause an!
Calm down!	Beruhige dich!
Calm down.	Beruhige dich!
Calm down.	Beruhigen Sie sich!
Calm down.	Beruhigen Sie sich.
Can I eat?	Kann ich essen?
Can we go?	Können wir gehen?
Catch Tom.	Fang Tom!
Catch Tom.	Fange Tom!
Catch Tom.	Fangen Sie Tom!
Catch Tom.	Fangt Tom!
Chill out.	Entspann dich.
Come back.	Komm wieder!
Come here.	Komm hierher.
Come here.	Komm her!
Come home.	Kommt heim!
Come home.	Komm heim!
Come over!	Komm hierher!
Come over.	Komm her!
Come soon.	Komm bald.
Come soon.	Kommen Sie bald.
Cool down.	Beruhige dich!
Did I win?	Habe ich gewonnen?
Do it now.	Mach es jetzt!
Dogs bark.	Hunde bellen.
Don't ask.	Frag nicht.
Don't cry.	Weine nicht!
Don't cry.	Weint nicht.
Don't cry.	Weinen Sie nicht.
Don't cry.	Weinen Sie nicht!
Don't cry.	Weint nicht!
Don't die.	Stirb nicht!
Don't lie.	Lüge nicht!
Don't lie.	Lüge nicht.
Don't run.	Lauf nicht.
Excuse me.	Es tut mir leid.
Excuse me.	Entschuldigung!
Excuse me.	Entschuldigung.
Excuse me.	Entschuldigen Sie!
Fantastic!	Fantastisch!
Fantastic!	Ganz toll!
Feel this.	Fühl mal.
Follow me.	Folge mir.
Forget it!	Vergiss es!
Forget it!	Daraus wird nichts.
Forget it.	Vergiss es.
Forget it.	Das kannst du knicken.
Forget me.	Vergiss mich!
Forget me.	Vergesst mich!
Forget me.	Vergessen Sie mich!
Get ready.	Mach dich bereit!
Get ready.	Mach dich fertig.
Go for it.	Nur zu!
Go for it.	Tue es.
Go get it.	Hol's dir!
Go inside.	Geh rein!
Go inside.	Komm rein.
Go to bed.	Geh schlafen!
Go to bed.	Geh ins Bett!
Go to bed.	Geht ins Bett!
Go to bed.	Legt euch schlafen!
Goodnight.	Gute Nacht.
Goodnight.	Schönen Abend.
Grab that.	Nimm das.
Grab that.	Hol das.
Hands off.	Hände weg!
Have some.	Nimm dir davon.
Have some.	Nehmen Sie davon.
He is ill.	Er ist krank.
He is old.	Er ist alt.
He shaved.	Er rasierte sich.
He smiled.	Er lächelte.
He's a DJ.	Er ist DJ.
He's a DJ.	Er ist Plattenaufleger.
He's fast.	Er ist schnell.
He's good.	Er ist gut.
He's lazy.	Er ist träge.
He's rich.	Er ist reich.
He's sexy.	Er ist sexy.
Head east.	Fahr Richtung Osten.
Head east.	Fahren Sie Richtung Osten.
Head east.	Fahrt Richtung Osten.
Here I am.	Hier bin ich.
Here's $5.	Hier sind fünf Dollar.
Hold fire.	Nicht schießen!
Hold this.	Halt das!
Hold this.	Halt das mal.
Hold this.	Halten Sie das!
Hold this.	Haltet das!
How awful!	Schrecklich!
How is it?	Wie ist die Lage?
How weird!	Wie seltsam!
Humor Tom.	Lass Tom doch seinen Willen.
Humor Tom.	Lasst Tom doch seinen Willen.
I am lost.	Ich habe mich verirrt.
I am okay.	Es geht mir gut.
I am sure.	Ich bin sicher.
I am tall.	Ich bin groß.
I am well.	Mir geht es gut.
I am well.	Es geht mir gut.
I approve.	Ich bin einverstanden.
I can fly.	Ich kann fliegen.
I can run.	Ich kann laufen.
I can run.	Ich kann rennen.
I can ski.	Ich kann Ski fahren.
I can win.	Ich kann gewinnen.
I changed.	Ich änderte.
I cheated.	Ich habe geschummelt.
I clapped.	Ich klatschte.
I coughed.	Ich hustete.
I coughed.	Ich habe gehustet.
I escaped.	Ich entkam.
I escaped.	Ich bin entkommen.
I fainted.	Ich wurde ohnmächtig.
I fainted.	Ich fiel in Ohnmacht.
I fear so.	Ich fürchte, ja.
I frowned.	Ich runzelte die Stirn.
I gave up.	Ich habe aufgegeben.
I gave up.	Ich gab auf.
I get you.	Ich verstehe, was du meinst.
I giggled.	Ich kicherte.
I give in.	Ich gebe nach.
I give in.	Ich füge mich.
I got mad.	Ich wurde wütend.
I got mad.	Ich wurde böse.
I got you.	Ich habe dich.
I had fun.	Ich hatte Spaß.
I had fun.	Ich habe mich amüsiert.
I hit Tom.	Ich habe Tom geschlagen.
I hit Tom.	Ich schlug Tom.
I hope so.	Das hoffe ich.
I hope so.	Ich hoffe es.
I hung up.	Ich habe aufgelegt.
I hurried.	Ich habe mich beeilt.
I knew it.	Ich wusste es.
I knew it.	Ich wusste das.
I laughed.	Ich lachte.
I like it.	Das gefällt mir.
I like it.	Es ist mir recht.
I lost it.	Ich habe ihn verloren.
I love it!	Ich liebe es!
I love it.	Ich liebe es.
I made it.	Ich habe es gemacht.
I made it.	Ich habe es geschafft.
I may win.	Vielleicht gewinne ich.
I mean it!	Ich meine es so!
I mean it!	Ich meine es ernst!
I mean it.	Ich meine es ernst.
I mean it.	Es ist ernst gemeint von mir.
I met Tom.	Ich habe Tom getroffen.
I met Tom.	Ich traf Tom.
I met Tom.	Ich bin Tom begegnet.
I met him.	Ich habe ihn getroffen.
I miss it.	Ich vermisse es.
I miss it.	Es fehlt mir.
I promise.	Ich versprech's.
I promise.	Ich verspreche es.
I relaxed.	Ich entspanne mich.
I relaxed.	Ich habe mich entspannt.
I retired.	Ich ging in Pension.
I said no.	Ich sagte nein.
I saw Tom.	Ich habe Tom gesehen.
I saw him.	Ich habe ihn gesehen.
I saw one.	Ich habe einen gesehen.
I saw you.	Ich habe dich gesehen.
I saw you.	Ich habe euch gesehen.
I saw you.	Ich habe Sie gesehen.
I see Tom.	Ich sehe Tom.
I slipped.	Ich rutschte aus.
I slipped.	Ich bin ausgerutscht.
I stopped.	Ich hörte auf.
I stopped.	Ich stoppte.
I took it.	Ich nahm es.
I took it.	Ich habe es genommen.
I want it.	Ich möchte es.
I want it.	Ich will es.
I was new.	Ich war neu.
I was shy.	Ich war schüchtern.
I will go.	Ich gehe.
I will go.	Ich werde gehen.
I woke up.	Ich wachte auf.
I'd do it.	Ich würde es tun.
I'd leave.	Ich würde gehen.
I'll call.	Ich werde anrufen.
I'll come.	Ich werde kommen.
I'll cook.	Ich werde kochen.
I'll help.	Ich helfe.
I'll live.	Ich werde leben.
I'll obey.	Ich werde gehorchen.
I'll quit.	Ich werde aufhören.
I'll quit.	Ich werde abbrechen.
I'll sing.	Ich werde singen.
I'll stay.	Ich werde bleiben.
I'll stop.	Ich werde aufhören.
I'll talk.	Ich werde reden.
I'll wait.	Ich werde warten.
I'll walk.	Ich gehe zu Fuß.
I'll walk.	Ich werde zu Fuß gehen.
I'm a man.	Ich bin ein Mann.
I'm a spy.	Ich bin Spion.
I'm a spy.	Ich bin Spionin.
I'm angry.	Ich bin sauer.
I'm awake.	Ich bin wach.
I'm blind.	Ich bin blind.
I'm bored.	Ich bin gelangweilt.
I'm bored.	Mir ist langweilig.
I'm broke.	Ich bin knapp bei Kasse.
I'm broke.	Ich bin pleite.
I'm crazy.	Ich bin verrückt.
I'm cured.	Ich bin geheilt.
I'm drunk.	Ich bin betrunken.
I'm drunk.	Ich bin blau.
I'm dying.	Ich werde bald sterben.
I'm early.	Ich bin früh dran.
I'm first.	Ich bin Erster.
I'm first.	Ich bin Erste.
I'm fussy.	Ich bin pingelig.
I'm going.	Ich gehe jetzt.
I'm happy.	Ich bin glücklich.
I'm happy.	Ich bin froh.
I'm lying.	Ich lüge.
I'm needy.	Ich bin bedürftig.
I'm obese.	Ich bin fett.
I'm picky.	Ich bin pingelig.
I'm picky.	Ich bin wählerisch.
I'm ready!	Ich bin soweit!
I'm ready.	Ich bin soweit.
I'm ready.	Ich bin so weit.
I'm right.	Ich habe recht.
I'm right.	Ich habe Recht.
I'm sober.	Ich bin nüchtern.
I'm sorry.	Es tut mir leid.
I'm sorry.	Entschuldigung!
I'm stuck.	Ich stecke fest.
I'm tired.	Ich bin müde!
I'm tired.	Ich bin müde.
I'm tough.	Ich bin zäh.
I'm upset.	Ich bin verärgert.
I'm upset.	Ich bin bestürzt.
I'm yours.	Ich gehöre dir.
I've lost.	Ich habe verloren.
Ignore it.	Beachte es gar nicht!
Ignore it.	Beachten Sie es gar nicht!
Is Tom OK?	Ist Tom okay?
Is Tom in?	Ist Tom da?
Is he Tom?	Ist er Tom?
Is it bad?	Ist es schlimm?
Is it far?	Ist das weit?
Is it hot?	Ist es heiß?
Is it new?	Ist es neu?
It burned.	Es brannte.
It burned.	Es verbrannte.
It poured.	Es schüttete.
It snowed.	Es hat geschneit.
It stinks.	Da ist doch was faul.
It worked.	Es hat geklappt.
It worked.	Das hat funktioniert.
It's 3:30.	Es ist halb vier.
It's 7:45.	Es ist 7:45 Uhr.
It's 7:45.	Es ist sieben Uhr fünfundvierzig.
It's 8:30.	Es ist 8:30 Uhr.
It's 9:15.	Es ist Viertel nach neun.
It's 9:15.	Es ist 9.15 Uhr.
It's a TV.	Das ist ein Fernseher.
It's cold.	Es ist kalt.
It's cool.	Es ist kühl.
It's dark.	Es ist dunkel.
It's easy.	Das ist einfach.
It's easy.	Es ist einfach.
It's fair.	Es ist gerecht.
It's free.	Es ist frei.
It's hard.	Das ist hart.
It's here.	Es ist hier.
It's late.	Es ist spät.
It's mine.	Es ist meins.
It's mine.	Sie gehört mir.
It's mine.	Er gehört mir.
It's okay.	Es ist in Ordnung.
It's open.	Es ist geöffnet.
It's ours.	Es ist unsers.
It's over.	Es ist vorbei.
It's sand.	Es ist Sand.
